curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
21,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
22,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
23,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
24,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
25,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
26,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
27,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
28,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
29,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
30,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
31,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
32,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
33,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
34,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
35,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
36,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
37,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
38,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
39,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
40,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
41,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
42,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
43,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
44,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
