curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
102,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
103,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
104,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
105,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
106,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
107,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
108,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
109,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
110,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
111,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
112,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
113,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
114,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
115,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
116,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
117,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
118,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
119,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
120,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
121,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
122,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
123,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
124,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
125,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
126,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
127,0.7328199052132701,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2DS3', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1GH29', 'H1TO3', 'H1PF4'],54,79,21
