curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
11,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
12,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
13,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
14,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
15,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
16,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
17,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
18,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
19,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
20,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
