curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
11,0.7268957345971564,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],16,24,27
12,0.7268957345971564,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],16,24,27
13,0.7268957345971564,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],16,24,27
14,0.7268957345971564,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],16,24,27
15,0.7268957345971564,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],16,24,27
16,0.7268957345971564,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],16,24,27
17,0.7280805687203792,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],14,24,28
18,0.7280805687203792,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],14,24,28
19,0.7280805687203792,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],14,24,28
20,0.7280805687203792,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],14,24,28
21,0.7280805687203792,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],14,24,28
22,0.7280805687203792,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],14,24,28
23,0.7280805687203792,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],14,24,28
24,0.7280805687203792,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],14,24,28
25,0.7280805687203792,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],14,24,28
26,0.7280805687203792,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],14,24,28
27,0.7280805687203792,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],14,24,28
