curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
227,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
228,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
229,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
230,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
231,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
232,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
233,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
234,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
235,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
236,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
237,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
238,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
239,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
240,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
241,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
242,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
243,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
244,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
245,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
246,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
247,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
248,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
249,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
250,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
251,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
252,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
