curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.715047393364929,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H1FS1', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H2TO25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF31', 'H2FV3', 'H1PF7', 'H1DS9', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2PF4', 'H2ED15', 'H1PF5', 'H1FS11', 'H1RM14', 'H2WP9', 'H1WP2', 'H1FS3', 'H2PF30'],66,38,16
11,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
12,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
13,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
14,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
15,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
16,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
17,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
18,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
19,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
20,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
21,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
22,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
23,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
24,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
25,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
26,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
27,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
28,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
29,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
30,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
31,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
32,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
33,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
34,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
35,0.7233412322274881,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H2EE14', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10'],86,37,25
