curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
14,0.6990521327014217,['H1TO9', 'H2PF9', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,73,4
15,0.6990521327014217,['H1TO9', 'H2PF9', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,73,4
16,0.6990521327014217,['H1TO9', 'H2PF9', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,73,4
17,0.6990521327014217,['H1TO9', 'H2PF9', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,73,4
18,0.6990521327014217,['H1TO9', 'H2PF9', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,73,4
19,0.6990521327014217,['H1TO9', 'H2PF9', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,73,4
20,0.6990521327014217,['H1TO9', 'H2PF9', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,73,4
21,0.6990521327014217,['H1TO9', 'H2PF9', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,73,4
22,0.7014218009478673,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,74,4
23,0.7014218009478673,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,74,4
