curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
47,0.70260663507109,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],25,65,75
48,0.70260663507109,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],25,65,75
49,0.70260663507109,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],25,65,75
50,0.70260663507109,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],25,65,75
51,0.70260663507109,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],25,65,75
52,0.7037914691943128,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],25,65,73
53,0.7037914691943128,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],25,65,73
54,0.7037914691943128,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],25,65,73
55,0.7037914691943128,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],25,65,73
56,0.7037914691943128,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],25,65,73
57,0.7049763033175356,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2FV2', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],26,66,71
58,0.7049763033175356,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2FV2', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],26,66,71
59,0.7061611374407583,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2WP5', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2FV2', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],24,66,71
60,0.7061611374407583,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2WP5', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2FV2', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],24,66,71
61,0.7061611374407583,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2WP5', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2FV2', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],24,66,71
62,0.7061611374407583,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2WP5', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2FV2', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],24,66,71
63,0.7061611374407583,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2WP5', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2FV2', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],24,66,71
64,0.7061611374407583,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2WP5', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1DA6', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'H1FS11', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H1IR3', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2FV2', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],24,66,71
